Film.Ratings.Link,film.title,Year,runtime,Director,Language,country,half.star,one.star,one.half.star,two.star,two.half.star,three.star,three.half.star,four.star,four.half.star,five.star,AvgRating
https://letterboxd.com/csi/film/00-schneider-jagd-auf-nihil-baxter/rating-histogram/,00 Schneider - Jagd auf Nihil Baxter,1994,92,Helge Schneider,German,Germany,22,31,22,73,79,221,243,291,111,139,3.482548701
https://letterboxd.com/csi/film/05-mm/rating-histogram/,0.5 mm,2014,198,Momoko Ando,Japanese,Japan,2,6,10,28,27,93,154,369,193,176,3.958412098
https://letterboxd.com/csi/film/10-cloverfield-lane/rating-histogram/,10 Cloverfield Lane,2016,104,Dan Trachtenberg,English,USA,778,2194,1704,9067,10756,46895,56936,76804,19467,13714,3.581442628
https://letterboxd.com/csi/film/10-rillington-place/rating-histogram/,10 Rillington Place,1971,106,Richard Fleischer,English,UK,5,11,8,62,115,558,930,1466,404,233,3.748154008
https://letterboxd.com/csi/film/10-things-i-hate-about-you/rating-histogram/,10 Things I Hate About You,1999,97,Gil Junger,English,USA,473,1436,1428,7368,9792,45845,49693,89600,27360,81869,3.955218761
https://letterboxd.com/csi/film/10-to-11/rating-histogram/,10 to 11,2009,110,Pelin Esmer,Turkish,Germany,0,7,10,36,69,315,444,435,78,70,3.556352459
https://letterboxd.com/csi/film/100-meters/rating-histogram/,100 Meters,2016,108,Marcel Barrena,Spanish,Spain,5,14,22,79,112,327,371,374,99,131,3.496414602
https://letterboxd.com/csi/film/100-yen-love/rating-histogram/,100 Yen Love,2014,113,Masaharu Take,Japanese,Japan,2,7,9,37,84,277,416,453,129,102,3.624670185
https://letterboxd.com/csi/film/1000-mabrouk/rating-histogram/,1000 Mabrouk,2009,115,Ahmed Nader Galal,,Arabic,7,19,23,71,85,317,216,202,41,76,3.302743614
https://letterboxd.com/csi/film/10000-km/rating-histogram/,"10,000 Km",2014,99,Carlos Marques-Marcet,Spanish,Spain,11,31,33,118,213,560,572,473,115,69,3.321640091
https://letterboxd.com/csi/film/11-14/rating-histogram/,11:14,2003,86,Greg Marcks,English,Canada,20,49,76,298,502,1450,1657,1250,226,154,3.336941218
https://letterboxd.com/csi/film/12-08-east-of-bucharest/rating-histogram/,12:08 East of Bucharest,2006,89,Corneliu Porumboiu,Romanian,Romania,6,12,13,70,105,360,531,658,202,141,3.632745472
https://letterboxd.com/csi/film/12-and-holding/rating-histogram/,12 and Holding,2005,90,Michael Cuesta,English,USA,3,12,9,47,55,178,211,223,50,41,3.441495778
https://letterboxd.com/csi/film/12-angry-men-1997/rating-histogram/,12 Angry Men,1997,117,William Friedkin,English,USA,20,44,26,107,211,811,908,1188,341,421,3.639195487
https://letterboxd.com/csi/film/12-angry-men/rating-histogram/,12 Angry Men,1957,97,Sidney Lumet,English,USA,167,343,172,1048,1126,7361,10935,47579,48878,116775,4.522889788
https://letterboxd.com/csi/film/12-chairs/rating-histogram/,12 Chairs,1971,161,Leonid Gaidai,Russian,USSR,1,2,4,19,11,87,119,170,59,76,3.790145985
https://letterboxd.com/csi/film/12-years-a-slave/rating-histogram/,12 Years a Slave,2013,134,Steve McQueen,English,USA,333,815,688,3678,3940,21872,29541,83955,43047,49894,4.06804465
https://letterboxd.com/csi/film/12/rating-histogram/,12,2007,159,Nikita Mikhalkov,Russian,Russian Federation,11,21,29,70,88,228,306,321,115,85,3.462715856
https://letterboxd.com/csi/film/127-hours/rating-histogram/,127 Hours,2010,94,Danny Boyle,English,UK,374,1108,1114,5928,8038,33671,37365,38476,8240,6416,3.480220991
https://letterboxd.com/csi/film/13-assassins/rating-histogram/,13 Assassins,2010,141,Takashi Miike,Japanese,Japan,33,73,95,468,809,3251,5389,9058,3251,2108,3.79891991
https://letterboxd.com/csi/film/13-going-on-30/rating-histogram/,13 Going on 30,2004,98,Gary Winick,English,USA,757,2302,2353,9600,10934,34318,24298,31376,7009,20660,3.489290216
https://letterboxd.com/csi/film/13-minutes/rating-histogram/,13 Minutes,2015,114,Oliver Hirschbiegel,German,Germany,10,13,28,98,169,537,558,374,58,51,3.29878692
https://letterboxd.com/csi/film/13-tzameti/rating-histogram/,13 Tzameti,2005,93,Géla Babluani,French,France,2,10,30,87,146,630,879,916,209,191,3.587419355
https://letterboxd.com/csi/film/1776/rating-histogram/,1776,1972,142,Peter H. Hunt,English,USA,17,43,41,144,183,462,485,530,188,259,3.487670068
https://letterboxd.com/csi/film/1900/rating-histogram/,1900,1976,317,Bernardo Bertolucci,Italian,France,40,64,67,257,295,796,976,1971,1022,1282,3.860118168
https://letterboxd.com/csi/film/1917/rating-histogram/,1917,2019,119,Sam Mendes,English,Canada,560,1510,1348,7257,9866,45259,63125,160391,87769,110073,4.07792749
https://letterboxd.com/csi/film/1945-2017/rating-histogram/,1945,2017,91,Ferenc Török,Hungarian,Hungary,5,14,12,72,88,289,353,371,110,56,3.474452555
https://letterboxd.com/csi/film/1981/rating-histogram/,1981,2009,102,Ricardo Trogi,French,Canada,1,0,7,18,36,182,278,216,36,41,3.542331288
https://letterboxd.com/csi/film/1985-2018/rating-histogram/,1985,2018,85,Yen Tan,English,USA,6,12,28,76,125,398,656,925,397,353,3.784610215
https://letterboxd.com/csi/film/1987-when-the-day-comes/rating-histogram/,1987: When the Day Comes,2017,129,Jang Joon-hwan,Korean,South Korea,6,14,7,61,87,431,796,1369,532,421,3.87244898
https://letterboxd.com/csi/film/1987/rating-histogram/,1987,2014,105,Ricardo Trogi,French,Canada,1,2,4,19,38,179,246,237,52,33,3.55918619
https://letterboxd.com/csi/film/1991/rating-histogram/,1991,2018,101,Ricardo Trogi,French,Canada,1,9,11,41,78,308,263,197,30,28,3.323498965
https://letterboxd.com/csi/film/2-cool-2-be-4gotten/rating-histogram/,2 Cool 2 Be 4gotten,2016,95,Petersen Vargas,Tagalog,Philippines,6,9,16,61,81,208,236,289,67,53,3.443469786
https://letterboxd.com/csi/film/2-or-3-things-i-know-about-her/rating-histogram/,2 or 3 Things I Know About Her,1967,88,Jean-Luc Godard,French,France,77,139,139,482,607,1659,1646,1786,750,680,3.455681105
https://letterboxd.com/csi/film/20000-leagues-under-the-sea-1954/rating-histogram/,"20,000 Leagues Under the Sea",1954,127,Richard Fleischer,English,USA,8,67,69,380,659,2635,2960,2718,602,571,3.494516824
https://letterboxd.com/csi/film/2001-a-space-odyssey/rating-histogram/,2001: A Space Odyssey,1968,149,Stanley Kubrick,English,UK,1510,3238,1553,7181,5343,23273,21939,69872,50977,159539,4.317999564
https://letterboxd.com/csi/film/2046/rating-histogram/,2046,2004,128,Wong Kar-wai,Chinese,Germany,57,139,160,692,1105,3956,6490,11795,5894,5501,3.921456313
https://letterboxd.com/csi/film/20th-century-women/rating-histogram/,20th Century Women,2016,119,Mike Mills,English,USA,187,499,471,2078,2817,11143,16015,34752,17899,18710,3.969384437
https://letterboxd.com/csi/film/21-grams/rating-histogram/,21 Grams,2003,124,Alejandro González Iñárritu,English,USA,148,353,407,1621,2074,7101,9769,13172,4055,2878,3.614519698
https://letterboxd.com/csi/film/21-jump-street/rating-histogram/,21 Jump Street,2012,109,Phil Lord,English,USA,860,2548,2137,10930,13249,55026,59662,72973,15289,17136,3.528415596
https://letterboxd.com/csi/film/22-jump-street/rating-histogram/,22 Jump Street,2014,112,Phil Lord,English,USA,934,3087,2861,13064,16059,50846,42227,40166,7692,8619,3.302667673
https://letterboxd.com/csi/film/23/rating-histogram/,23,1998,99,Hans-Christian Schmid,German,Germany,2,10,18,40,79,260,408,369,97,62,3.528624535
https://letterboxd.com/csi/film/24-2016/rating-histogram/,24,2016,164,Vikram Kumar,Tamil,India,17,29,34,97,144,409,485,426,113,93,3.380887926
https://letterboxd.com/csi/film/24-city/rating-histogram/,24 City,2008,107,Jia Zhangke,Chinese,China,4,6,12,59,95,358,534,755,255,187,3.720529801
https://letterboxd.com/csi/film/24-hour-party-people/rating-histogram/,24 Hour Party People,2002,117,Michael Winterbottom,English,UK,29,83,100,430,653,2673,4103,5931,1721,1392,3.713000292
https://letterboxd.com/csi/film/24-weeks/rating-histogram/,24 Weeks,2016,103,Anne Zohra Berrached,German,Germany,5,8,15,32,60,166,236,272,93,60,3.566525871
https://letterboxd.com/csi/film/25-km-h/rating-histogram/,25 km/h,2018,116,Markus Goller,German,Germany,9,29,25,120,251,859,1416,1225,175,90,3.479161705
https://letterboxd.com/csi/film/25-watts/rating-histogram/,25 Watts,2001,94,Juan Pablo Rebella,Spanish,Uruguay,0,4,6,20,35,160,202,263,92,121,3.763565891
https://letterboxd.com/csi/film/25th-hour/rating-histogram/,25th Hour,2002,135,Spike Lee,English,USA,82,184,220,978,1481,5219,8196,12641,5450,3766,3.780398775
https://letterboxd.com/csi/film/27-steps-of-may/rating-histogram/,27 Steps of May,2018,112,Ravi L. Bharwani,Indonesian,Indonesia,2,9,6,12,30,136,266,708,365,258,4.029854911
https://letterboxd.com/csi/film/28-days-later/rating-histogram/,28 Days Later,2002,113,Danny Boyle,English,UK,370,1052,1009,4664,6279,26330,35469,55921,16222,15565,3.7169191
https://letterboxd.com/csi/film/2everything2terrible2-tokyo-drift/rating-histogram/,2Everything2Terrible2: Tokyo Drift,2010,68,,,,6,8,2,15,30,80,153,220,49,103,3.768768769
https://letterboxd.com/csi/film/2ldk/rating-histogram/,2LDK,2003,70,Yukihiko Tsutsumi,Japanese,Japan,1,17,18,60,90,332,361,302,64,54,3.398768283
https://letterboxd.com/csi/film/3-2003-1/rating-histogram/,Barbie of Swan Lake,2003,81,Owen Hurley,English,USA,193,431,355,1163,1086,3411,1790,2581,584,2652,3.4262951
https://letterboxd.com/csi/film/3-bad-men/rating-histogram/,3 Bad Men,1926,92,John Ford,English,USA,1,6,6,22,22,105,214,311,136,105,3.835668103
https://letterboxd.com/csi/film/3-days-in-quiberon/rating-histogram/,3 Days in Quiberon,2018,115,Emily Atef,German,Austria,4,6,11,36,86,249,299,240,35,21,3.371327254
https://letterboxd.com/csi/film/3-faces/rating-histogram/,3 Faces,2018,100,Jafar Panahi,Persian (Farsi),Iran,26,34,50,120,234,949,1351,1342,307,191,3.524543875
https://letterboxd.com/csi/film/3-godfathers/rating-histogram/,3 Godfathers,1948,106,John Ford,English,USA,10,28,19,112,204,697,793,674,181,160,3.465079917
https://letterboxd.com/csi/film/3-idiots/rating-histogram/,3 Idiots,2009,170,Rajkumar Hirani,Hindi,India,366,455,460,1053,1253,4140,5482,10650,5306,7531,3.877956726
https://letterboxd.com/csi/film/3-iron/rating-histogram/,3-Iron,2004,88,Kim Ki-duk,Korean,South Korea,57,145,121,422,614,2173,3786,8105,4349,4208,3.983924103
https://letterboxd.com/csi/film/3-women/rating-histogram/,3 Women,1977,124,Robert Altman,English,USA,25,43,54,258,388,1471,2305,5581,3887,3955,4.101602939
https://letterboxd.com/csi/film/303-2018/rating-histogram/,303,2018,145,Hans Weingartner,German,Germany,28,35,67,150,257,629,997,1912,910,1148,3.905348117
https://letterboxd.com/csi/film/31-minutos-the-movie/rating-histogram/,31 Minutos: The Movie,2008,87,Pedro Peirano,Spanish,Brazil,5,3,11,19,40,135,122,126,32,101,3.611111111
https://letterboxd.com/csi/film/310-to-yuma-2007/rating-histogram/,3:10 to Yuma,2007,122,James Mangold,English,USA,71,181,298,1293,2302,9602,14463,18029,4648,2536,3.634071467
https://letterboxd.com/csi/film/310-to-yuma/rating-histogram/,3:10 to Yuma,1957,92,Delmer Daves,English,USA,6,16,13,95,182,939,1907,3124,1039,606,3.832029772
https://letterboxd.com/csi/film/35-shots-of-rum/rating-histogram/,35 Shots of Rum,2008,100,Claire Denis,French,France,14,32,34,160,251,789,1230,2510,1369,1137,3.932367792
https://letterboxd.com/csi/film/36-2012/rating-histogram/,36,2012,68,Nawapol Thamrongrattanarit,Thai,Thailand,1,3,5,27,45,148,249,437,143,125,3.81191885
https://letterboxd.com/csi/film/36-hours-1964/rating-histogram/,36 Hours,1964,115,George Seaton,English,USA,0,3,2,26,50,172,205,198,29,19,3.457386364
https://letterboxd.com/csi/film/37-seconds/rating-histogram/,37 Seconds,2019,115,Hikari,Japanese,Japan,7,20,21,88,164,713,950,1270,344,259,3.656934307
https://letterboxd.com/csi/film/4-months-3-weeks-and-2-days/rating-histogram/,"4 Months, 3 Weeks and 2 Days",2007,114,Cristian Mungiu,Romanian,Belgium,47,72,79,235,399,1434,2873,7765,5301,4204,4.104310768
https://letterboxd.com/csi/film/42/rating-histogram/,42,2013,128,Brian Helgeland,English,USA,35,108,192,1018,1987,7159,8235,7791,1774,1557,3.505107851
https://letterboxd.com/csi/film/42nd-street/rating-histogram/,42nd Street,1933,89,Lloyd Bacon,English,USA,10,47,63,246,417,1554,1941,1884,471,432,3.531776362
https://letterboxd.com/csi/film/45-years/rating-histogram/,45 Years,2015,95,Andrew Haigh,English,UK,35,119,123,517,855,3140,4972,7589,3072,1697,3.751503233
https://letterboxd.com/csi/film/48-hrs/rating-histogram/,48 Hrs.,1982,96,Walter Hill,English,USA,38,202,223,1165,1882,6448,6406,5354,868,747,3.360583723
https://letterboxd.com/csi/film/49th-parallel/rating-histogram/,49th Parallel,1941,123,Michael Powell,English,Canada,5,8,18,67,148,510,789,784,241,109,3.582866741
https://letterboxd.com/csi/film/5-centimeters-per-second/rating-histogram/,5 Centimeters per Second,2007,63,Makoto Shinkai,Japanese,Japan,231,520,563,2246,2720,7732,8638,10332,3478,3904,3.535328511
https://letterboxd.com/csi/film/5-fingers/rating-histogram/,5 Fingers,1952,108,Joseph L. Mankiewicz,English,USA,2,1,2,19,41,155,266,319,93,44,3.668789809
https://letterboxd.com/csi/film/5-to-7/rating-histogram/,5 to 7,2014,98,Victor Levin,English,USA,33,93,109,332,490,1059,1017,938,235,361,3.323976859
https://letterboxd.com/csi/film/50-50/rating-histogram/,50/50,2011,100,Jonathan Levine,English,USA,196,614,657,3660,5902,23304,27203,31652,8160,5571,3.554821875
https://letterboxd.com/csi/film/500-days-of-summer/rating-histogram/,(500) Days of Summer,2009,95,Marc Webb,English,USA,1809,4346,2997,13937,14628,56252,58313,90777,26985,38287,3.64224486
https://letterboxd.com/csi/film/61/rating-histogram/,61*,2001,129,Billy Crystal,English,USA,3,10,21,70,135,725,720,638,122,108,3.470415361
https://letterboxd.com/csi/film/7-boxes/rating-histogram/,7 Boxes,2012,100,Juan Carlos Maneglia,Spanish,Paraguay,6,12,16,94,122,402,588,797,212,232,3.66706973
https://letterboxd.com/csi/film/7-days-in-hell/rating-histogram/,7 Days in Hell,2015,43,Jake Szymanski,English,USA,62,158,193,731,1149,4056,4495,4026,908,870,3.439061749
https://letterboxd.com/csi/film/7-faces-of-dr-lao/rating-histogram/,7 Faces of Dr. Lao,1964,100,George Pal,English,USA,8,16,19,82,113,311,287,226,51,81,3.325795645
https://letterboxd.com/csi/film/7-men-from-now/rating-histogram/,7 Men from Now,1956,78,Budd Boetticher,English,USA,2,11,5,61,110,483,998,1228,380,205,3.733993684
https://letterboxd.com/csi/film/7-prisoners/rating-histogram/,7 Prisoners,2021,93,Alexandre Moratto,Portuguese,Brazil,10,13,21,101,172,536,870,929,160,124,3.538998638
https://letterboxd.com/csi/film/7-women/rating-histogram/,7 Women,1966,87,John Ford,English,USA,3,15,11,48,74,175,260,327,188,241,3.806259314
https://letterboxd.com/csi/film/71-fragments-of-a-chronology-of-chance/rating-histogram/,71 Fragments of a Chronology of Chance,1994,100,Michael Haneke,German,Germany,15,44,55,192,346,1120,1531,1855,663,391,3.615582743
https://letterboxd.com/csi/film/71/rating-histogram/,'71,2014,99,Yann Demange,English,UK,18,60,84,433,898,3597,5764,6135,1263,648,3.583835979
https://letterboxd.com/csi/film/7th-heaven/rating-histogram/,7th Heaven,1927,110,Frank Borzage,English,USA,16,27,18,81,102,365,410,611,283,240,3.68160706
https://letterboxd.com/csi/film/8-half/rating-histogram/,8½,1963,139,Federico Fellini,Italian,Italy,231,381,367,1246,1592,5043,6818,18368,14979,30031,4.269675926
https://letterboxd.com/csi/film/8-mile/rating-histogram/,8 Mile,2002,111,Curtis Hanson,English,USA,396,1029,987,4772,7364,26930,28813,26898,5333,6033,3.44574179
https://letterboxd.com/csi/film/8-women/rating-histogram/,8 Women,2002,111,François Ozon,French,France,32,98,101,434,587,1936,2473,3163,969,1155,3.640116916
https://letterboxd.com/csi/film/84-charing-cross-road/rating-histogram/,84 Charing Cross Road,1987,100,David Hugh Jones,English,UK,2,16,11,80,143,564,701,739,208,270,3.635149963
https://letterboxd.com/csi/film/9-souls/rating-histogram/,9 Souls,2003,120,Toshiaki Toyoda,Japanese,Japan,3,3,9,23,28,113,149,265,104,109,3.805831266
https://letterboxd.com/csi/film/96-2018/rating-histogram/,96,2018,159,C. Prem Kumar,Tamil,India,19,25,15,83,95,323,443,893,362,426,3.841654247
https://letterboxd.com/csi/film/99-francs/rating-histogram/,99 francs,2007,105,Jan Kounen,French,France,29,64,52,163,203,528,750,826,298,280,3.521453179
https://letterboxd.com/csi/film/99-homes/rating-histogram/,99 Homes,2014,112,Ramin Bahrani,English,USA,25,75,94,513,1025,3606,5279,4774,933,389,3.491354036
https://letterboxd.com/csi/film/99-river-street/rating-histogram/,99 River Street,1953,83,Phil Karlson,English,USA,1,2,1,22,53,196,389,474,108,40,3.66407465
https://letterboxd.com/csi/film/a-bag-of-marbles-2017/rating-histogram/,A Bag of Marbles,2017,110,Christian Duguay,French,Czechia,6,8,19,68,135,470,600,706,174,275,3.659081674
https://letterboxd.com/csi/film/a-bay-of-blood/rating-histogram/,A Bay of Blood,1971,85,Mario Bava,Italian,Italy,41,144,187,721,1074,3263,3167,3267,793,618,3.402787194
https://letterboxd.com/csi/film/a-beautiful-day-in-the-neighborhood/rating-histogram/,A Beautiful Day in the Neighborhood,2019,109,Marielle Heller,English,China,164,440,495,2270,3768,14239,19401,24462,7196,5767,3.643257206
https://letterboxd.com/csi/film/a-beautiful-mind/rating-histogram/,A Beautiful Mind,2001,135,Ron Howard,English,USA,324,1009,912,4524,6019,24036,31167,52959,17188,18383,3.762587768
https://letterboxd.com/csi/film/a-better-life/rating-histogram/,A Better Life,2011,98,Chris Weitz,English,USA,1,16,24,122,214,766,890,676,127,101,3.413346953
https://letterboxd.com/csi/film/a-better-tomorrow-ii/rating-histogram/,A Better Tomorrow II,1987,105,John Woo,Chinese,Hong Kong,9,22,26,155,304,1091,1304,1340,380,335,3.567760773
https://letterboxd.com/csi/film/a-better-tomorrow-iii-love-and-death-in-saigon/rating-histogram/,A Better Tomorrow III: Love and Death in Saigon,1989,114,Tsui Hark,Cantonese,Hong Kong,10,16,36,135,176,356,257,279,101,117,3.309507755
https://letterboxd.com/csi/film/a-better-tomorrow/rating-histogram/,A Better Tomorrow,1986,95,John Woo,Chinese,Hong Kong,7,34,45,227,368,1721,2801,4358,1541,1197,3.804943491
https://letterboxd.com/csi/film/a-bigger-splash-2015/rating-histogram/,A Bigger Splash,2015,125,Luca Guadagnino,English,France,123,298,367,1426,2148,6167,7332,6848,1610,937,3.398040798
https://letterboxd.com/csi/film/a-bittersweet-life/rating-histogram/,A Bittersweet Life,2005,120,Kim Jee-woon,Korean,South Korea,34,61,63,338,626,2311,4090,6117,2506,1622,3.799893066
https://letterboxd.com/csi/film/a-boy-named-charlie-brown/rating-histogram/,A Boy Named Charlie Brown,1969,86,Bill Melendez,English,USA,4,13,17,69,124,569,561,808,222,347,3.703365033
https://letterboxd.com/csi/film/a-brand-new-life/rating-histogram/,A Brand New Life,2009,92,Ounie Lecomte,Korean,France,0,3,4,21,29,138,207,256,56,45,3.640316206
https://letterboxd.com/csi/film/a-bread-factory-part-one-for-the-sake-of-gold/rating-histogram/,A Bread Factory Part One: For the Sake of Gold,2018,122,Patrick Wang,,English,1,11,8,20,34,97,149,237,153,144,3.884660422
https://letterboxd.com/csi/film/a-bride-for-rip-van-winkle/rating-histogram/,A Bride for Rip Van Winkle,2016,179,Shunji Iwai,Japanese,Japan,15,23,31,94,131,415,642,1207,839,797,3.975441106
https://letterboxd.com/csi/film/a-bridge-too-far/rating-histogram/,A Bridge Too Far,1977,175,Richard Attenborough,English,UK,11,34,54,260,519,1927,2306,2680,670,584,3.587064677
https://letterboxd.com/csi/film/a-brighter-summer-day/rating-histogram/,A Brighter Summer Day,1991,237,Edward Yang,Chinese,Taiwan,26,60,38,193,250,942,1504,4677,5252,11151,4.454737891
https://letterboxd.com/csi/film/a-bronx-tale/rating-histogram/,A Bronx Tale,1993,121,Robert De Niro,English,USA,27,75,106,497,938,3983,6381,9981,3468,3658,3.83626434
https://letterboxd.com/csi/film/a-brothers-love/rating-histogram/,A Brother’s Love,2019,117,Monia Chokri,French,Canada,5,15,15,53,93,214,286,350,94,69,3.50879397
https://letterboxd.com/csi/film/a-brutal-game/rating-histogram/,A Brutal Game,1983,90,Jean-Claude Brisseau,French,France,3,7,7,35,58,189,239,283,76,74,3.585478888
https://letterboxd.com/csi/film/a-bucket-of-blood/rating-histogram/,A Bucket of Blood,1959,66,Roger Corman,English,USA,11,39,46,212,411,1470,1868,1638,354,318,3.494267316
https://letterboxd.com/csi/film/a-bugs-life/rating-histogram/,A Bug's Life,1998,95,John Lasseter,English,USA,662,1954,1855,10411,13547,50039,39721,42032,8186,14877,3.427726916
https://letterboxd.com/csi/film/a-bullet-for-the-general/rating-histogram/,A Bullet for the General,1966,118,Damiano Damiani,Italian,Italy,0,7,11,33,68,306,494,585,206,130,3.708423913
https://letterboxd.com/csi/film/a-canterbury-tale/rating-histogram/,A Canterbury Tale,1944,124,Emeric Pressburger,English,UK,8,14,15,112,153,542,663,1013,461,430,3.773087071
https://letterboxd.com/csi/film/a-cat-in-paris/rating-histogram/,A Cat in Paris,2010,70,Alain Gagnol,French,France,11,39,63,282,431,1526,1423,1359,291,328,3.428559013
https://letterboxd.com/csi/film/a-chinese-ghost-story-ii/rating-histogram/,A Chinese Ghost Story II,1990,104,Tony Ching Siu-Tung,Cantonese,Hong Kong,2,4,8,35,86,273,284,257,50,51,3.45047619
https://letterboxd.com/csi/film/a-chinese-ghost-story-iii/rating-histogram/,A Chinese Ghost Story III,1991,104,Tony Ching Siu-Tung,Cantonese,China,1,2,6,40,74,210,189,131,17,24,3.297550432
https://letterboxd.com/csi/film/a-chinese-ghost-story/rating-histogram/,A Chinese Ghost Story,1987,98,Tony Ching Siu-Tung,Cantonese,Hong Kong,5,24,27,107,199,802,1163,1478,384,338,3.663574111
https://letterboxd.com/csi/film/a-chinese-odyssey-part-one-pandoras-box/rating-histogram/,A Chinese Odyssey Part One: Pandora's Box,1995,88,Jeffrey Lau,Cantonese,Hong Kong,5,11,21,64,131,363,510,662,145,182,3.622254059
https://letterboxd.com/csi/film/a-chinese-odyssey-part-two-cinderella/rating-histogram/,A Chinese Odyssey Part Two: Cinderella,1995,99,Jeffrey Lau,Cantonese,Hong Kong,5,7,18,51,92,259,394,529,191,250,3.758351893
https://letterboxd.com/csi/film/a-christmas-carol-1984/rating-histogram/,A Christmas Carol,1984,101,Clive Donner,English,UK,5,39,44,209,317,1259,1169,1365,395,445,3.55422146
https://letterboxd.com/csi/film/a-christmas-carol/rating-histogram/,A Christmas Carol,1938,69,Edwin L. Marin,English,USA,0,8,15,96,174,601,608,558,120,133,3.469736273
https://letterboxd.com/csi/film/a-christmas-story-1983/rating-histogram/,A Christmas Story,1983,93,Bob Clark,English,USA,530,1014,775,2711,3019,9950,10385,16209,5579,9439,3.669540857
https://letterboxd.com/csi/film/a-christmas-tale/rating-histogram/,A Christmas Tale,2008,152,Arnaud Desplechin,French,France,15,31,41,133,211,540,703,918,398,234,3.600186104
https://letterboxd.com/csi/film/a-chump-at-oxford/rating-histogram/,A Chump at Oxford,1940,63,Alfred J. Goulding,English,USA,5,4,1,23,64,264,276,260,65,73,3.545410628
https://letterboxd.com/csi/film/a-ciambra/rating-histogram/,A Ciambra,2017,118,Jonas Carpignano,Italian,Italy,7,8,16,77,129,455,632,548,130,83,3.492086331
https://letterboxd.com/csi/film/a-city-of-sadness/rating-histogram/,A City of Sadness,1989,159,Hou Hsiao-hsien,Chinese,Hong Kong,5,17,19,65,88,404,634,1454,945,1094,4.098941799
https://letterboxd.com/csi/film/a-clockwork-orange/rating-histogram/,A Clockwork Orange,1971,137,Stanley Kubrick,English,UK,1579,3175,1470,7382,6095,28925,32788,97811,60347,110186,4.149839317
https://letterboxd.com/csi/film/a-cock-and-bull-story/rating-histogram/,A Cock and Bull Story,2005,94,Michael Winterbottom,English,UK,16,24,46,227,272,895,977,1012,245,146,3.424870466
https://letterboxd.com/csi/film/a-coffee-in-berlin-2012/rating-histogram/,A Coffee in Berlin,2012,88,Jan Ole Gerster,German,Germany,25,47,56,222,390,1348,2014,2560,790,523,3.644576803
https://letterboxd.com/csi/film/a-colt-is-my-passport/rating-histogram/,A Colt Is My Passport,1967,84,Takashi Nomura,Japanese,Japan,2,1,9,50,112,578,1097,1429,406,196,3.735051546
https://letterboxd.com/csi/film/a-confucian-confusion/rating-histogram/,A Confucian Confusion,1994,125,Edward Yang,,Chinese,2,4,0,19,56,187,319,480,185,190,3.857836338
https://letterboxd.com/csi/film/a-conspiracy-of-faith/rating-histogram/,A Conspiracy of Faith,2016,108,Hans Petter Moland,Danish,Denmark,6,18,51,209,327,1007,1052,726,110,101,3.310230108
https://letterboxd.com/csi/film/a-copy-of-my-mind/rating-histogram/,A Copy of My Mind,2015,117,Joko Anwar,Indonesian,Indonesia,6,8,9,44,76,327,462,573,125,70,3.591176471
https://letterboxd.com/csi/film/a-cottage-on-dartmoor/rating-histogram/,A Cottage on Dartmoor,1929,88,Anthony Asquith,English,Sweden,1,0,5,7,20,82,153,276,143,112,3.956195244
https://letterboxd.com/csi/film/a-cultural-film/rating-histogram/,A Cultural Film,2000,120,Mohamed Amin,,Arabic,4,12,6,22,25,94,110,262,104,190,3.935464415
https://letterboxd.com/csi/film/a-damsel-in-distress/rating-histogram/,A Damsel in Distress,1937,101,George Stevens,English,USA,0,4,4,29,42,198,162,107,17,17,3.31637931
https://letterboxd.com/csi/film/a-dark-song/rating-histogram/,A Dark Song,2016,100,Liam Gavin,English,Ireland,67,201,193,693,1063,2770,3157,3008,780,577,3.385882165
https://letterboxd.com/csi/film/a-date-for-mad-mary/rating-histogram/,A Date for Mad Mary,2016,82,Darren Thornton,English,Ireland,4,9,15,58,83,335,489,654,186,103,3.63713843
https://letterboxd.com/csi/film/a-day-at-the-races/rating-histogram/,A Day at the Races,1937,111,Sam Wood,English,USA,2,17,24,121,194,877,1142,1345,353,332,3.639096891
https://letterboxd.com/csi/film/a-day-in-the-country/rating-histogram/,A Day in the Country,1946,41,Jean Renoir,French,France,12,26,40,146,242,963,1231,1959,986,897,3.836434943
https://letterboxd.com/csi/film/a-death-in-the-gunj/rating-histogram/,A Death in the Gunj,2016,110,Konkona Sen Sharma,English,India,7,16,7,35,72,223,431,853,265,171,3.80625
https://letterboxd.com/csi/film/a-difficult-life/rating-histogram/,A Difficult Life,1961,118,Dino Risi,Italian,Italy,0,0,2,6,13,49,101,310,129,109,4.052155772
https://letterboxd.com/csi/film/a-dirty-carnival/rating-histogram/,A Dirty Carnival,2006,141,Yoo Ha,Korean,South Korea,4,7,13,94,158,470,723,611,158,100,3.510265184
https://letterboxd.com/csi/film/a-dogs-will/rating-histogram/,A Dog's Will,2000,104,Guel Arraes,Portuguese,Brazil,146,132,122,419,328,1032,1406,4898,3664,18092,4.51744436
https://letterboxd.com/csi/film/a-double-life/rating-histogram/,A Double Life,1947,104,George Cukor,English,USA,2,3,9,49,86,260,281,197,30,27,3.338983051
https://letterboxd.com/csi/film/a-drama-of-jealousy-and-other-things/rating-histogram/,A Drama of Jealousy (And Other Things),1970,105,Ettore Scola,Italian,Italy,0,4,6,18,35,161,268,437,153,147,3.847843775
